
---------- Begin Simulation Statistics ----------
simSeconds                                   0.118683                       # Number of seconds simulated (Second)
simTicks                                 118682538940                       # Number of ticks simulated (Tick)
finalTick                                118682538940                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   1384.57                       # Real time elapsed on the host (Second)
hostTickRate                                 85717783                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    8569380                       # Number of bytes of host memory used (Byte)
simInsts                                    238343972                       # Number of instructions simulated (Count)
simOps                                      241286707                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   172143                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     174268                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           476                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                        249333066                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               1.045547                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.956437                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       257284851                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      529                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      252996872                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                  49302                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined             15998672                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined          19358609                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 164                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           248783095                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.016938                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.000825                       # Number of insts issued each cycle (Count)
system.cpu.statIssuedInstType_0::SimdWholeRegisterStore            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdUnitStrideFaultOnlyFirstLoad            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdUnitStrideSegmentedLoad            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdUnitStrideSegmentedStore            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdUnitStrideSegmentedFaultOnlyFirstLoad            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdStrideSegmentedLoad            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdStrideSegmentedStore            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdExt            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdFloatExt            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::SimdConfig            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::total      252996872                       # Number of instructions issued per FU type, per thread (Count)
system.cpu.issueRate                         1.014694                       # Inst issue rate ((Count/Cycle))
system.cpu.fuBusy                             7644803                       # FU busy when requested (Count)
system.cpu.fuBusyRate                        0.030217                       # FU busy rate (busy events/executed inst) ((Count/Count))
system.cpu.intInstQueueReads                619654839                       # Number of integer instruction queue reads (Count)
system.cpu.intInstQueueWrites               198353775                       # Number of integer instruction queue writes (Count)
system.cpu.intInstQueueWakeupAccesses       178567610                       # Number of integer instruction queue wakeup accesses (Count)
system.cpu.fpInstQueueReads                         0                       # Number of floating instruction queue reads (Count)
system.cpu.fpInstQueueWrites                        0                       # Number of floating instruction queue writes (Count)
system.cpu.fpInstQueueWakeupAccesses                0                       # Number of floating instruction queue wakeup accesses (Count)
system.cpu.vecInstQueueReads                142816105                       # Number of vector instruction queue reads (Count)
system.cpu.vecInstQueueWrites                75373671                       # Number of vector instruction queue writes (Count)
system.cpu.vecInstQueueWakeupAccesses        69100487                       # Number of vector instruction queue wakeup accesses (Count)
system.cpu.intAluAccesses                   187997137                       # Number of integer alu accesses (Count)
system.cpu.fpAluAccesses                            0                       # Number of floating point alu accesses (Count)
system.cpu.vecAluAccesses                    72644341                       # Number of vector alu accesses (Count)
system.cpu.numRecvResp                      113068541                       # Number of received responses (Count)
system.cpu.numRecvRespBytes                 591870298                       # Number of received response bytes (Byte)
system.cpu.recvRespAvgBW                         2.37                       # Average bandwidth of received responses ((Byte/Cycle))
system.cpu.recvRespAvgSize                       5.23                       # Average packet size per received response ((Byte/Count))
system.cpu.recvRespAvgRate                       0.45                       # Average rate of received responses per cycle ((Count/Cycle))
system.cpu.recvRespAvgRetryRate                  0.00                       # Average retry rate per received response ((Count/Count))
system.cpu.numSendRetryResp                         0                       # Number of retry responses sent (Count)
system.cpu.numSquashedInsts                   1683883                       # Number of squashed instructions skipped in execute (Count)
system.cpu.numSwp                                   0                       # Number of swp insts executed (Count)
system.cpu.timesIdled                           10780                       # Number of times that the entire CPU went into an idle state and unscheduled itself (Count)
system.cpu.idleCycles                          549971                       # Total number of cycles that the CPU has spent unscheduled due to idling (Cycle)
system.cpu.MemDepUnit__0.insertedLoads      107550849                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__0.insertedStores      33973253                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__0.conflictingLoads     35521093                       # Number of conflicting loads. (Count)
system.cpu.MemDepUnit__0.conflictingStores      6231234                       # Number of conflicting stores. (Count)
system.cpu.MemDepUnit__1.insertedLoads              0                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__1.insertedStores             0                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__1.conflictingLoads            0                       # Number of conflicting loads. (Count)
system.cpu.MemDepUnit__1.conflictingStores            0                       # Number of conflicting stores. (Count)
system.cpu.MemDepUnit__2.insertedLoads              0                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__2.insertedStores             0                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__2.conflictingLoads            0                       # Number of conflicting loads. (Count)
system.cpu.MemDepUnit__2.conflictingStores            0                       # Number of conflicting stores. (Count)
system.cpu.MemDepUnit__3.insertedLoads              0                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__3.insertedStores             0                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__3.conflictingLoads            0                       # Number of conflicting loads. (Count)
system.cpu.MemDepUnit__3.conflictingStores            0                       # Number of conflicting stores. (Count)
system.cpu.branchPred.lookups_0::NoBranch            0      0.00%      0.00% # Number of BP lookups (Count)
system.cpu.branchPred.lookups_0::Return        763765      5.10%      5.10% # Number of BP lookups (Count)
system.cpu.branchPred.lookups_0::CallDirect       649563      4.33%      9.43% # Number of BP lookups (Count)
system.cpu.branchPred.lookups_0::CallIndirect        55814      0.37%      9.80% # Number of BP lookups (Count)
system.cpu.branchPred.lookups_0::DirectCond     12566649     83.83%     93.64% # Number of BP lookups (Count)
system.cpu.branchPred.lookups_0::DirectUncond       941133      6.28%     99.91% # Number of BP lookups (Count)
system.cpu.branchPred.lookups_0::IndirectCond            0      0.00%     99.91% # Number of BP lookups (Count)
system.cpu.branchPred.lookups_0::IndirectUncond        12941      0.09%    100.00% # Number of BP lookups (Count)
system.cpu.branchPred.lookups_0::total       14989865                       # Number of BP lookups (Count)
system.cpu.branchPred.squashes_0::NoBranch            0      0.00%      0.00% # Number of branches that got squashed (completely removed) as an earlier branch was mispredicted. (Count)
system.cpu.branchPred.squashes_0::Return       201271      7.92%      7.92% # Number of branches that got squashed (completely removed) as an earlier branch was mispredicted. (Count)
system.cpu.branchPred.squashes_0::CallDirect       121613      4.79%     12.71% # Number of branches that got squashed (completely removed) as an earlier branch was mispredicted. (Count)
system.cpu.branchPred.squashes_0::CallIndirect        21266      0.84%     13.55% # Number of branches that got squashed (completely removed) as an earlier branch was mispredicted. (Count)
system.cpu.branchPred.squashes_0::DirectCond      1923244     75.71%     89.26% # Number of branches that got squashed (completely removed) as an earlier branch was mispredicted. (Count)
